# lats1 lons1 lats2 lon2 drift_m
76.49 128.42 76.66 127.76 25543.43
76.47 128.41 76.64 127.76 25542.02
76.46 129.10 76.46 129.19 2237.03
76.44 128.29 76.61 127.63 25540.68
76.43 129.09 76.44 129.18 2236.90
76.42 128.17 76.29 128.68 19584.52
76.42 128.29 76.59 127.63 25539.26
76.41 128.40 76.58 127.75 25539.19
76.40 129.09 76.41 129.17 2236.78
76.39 128.16 76.56 127.51 25537.91
76.39 128.28 76.56 127.62 25537.84
76.39 128.51 76.26 128.98 19041.22
76.38 128.96 76.38 129.05 2236.66
76.38 129.08 76.38 129.16 2236.65
76.37 129.19 76.38 129.27 2236.65
76.36 128.16 76.23 128.63 19479.63
76.35 128.73 76.38 129.09 9801.18
76.35 128.96 76.36 129.04 2236.54
76.35 129.07 76.35 129.15 2236.53
76.34 128.15 76.20 128.64 19464.66
76.33 128.83 76.35 129.20 9800.59
76.32 128.95 76.33 129.03 2236.41
76.32 129.06 76.33 129.14 2236.40
76.32 129.18 76.33 129.25 2095.33
76.31 128.26 76.48 127.61 25533.56
76.31 128.37 76.17 128.87 20101.46
76.30 128.49 76.17 128.98 20101.39
76.30 128.94 76.30 129.02 2291.27
76.30 129.05 76.30 129.13 2153.81
76.29 129.17 76.30 129.24 2095.22
76.29 129.28 76.30 129.36 2095.21
76.28 128.25 76.45 127.60 25532.13
76.28 128.37 76.15 128.84 19143.04
76.28 128.59 76.21 128.83 10006.52
76.27 128.93 76.28 129.01 2153.70
76.27 129.05 76.28 129.12 2153.69
76.27 129.16 76.27 129.24 2153.68
76.26 129.27 76.27 129.35 2153.67
76.26 128.02 76.13 128.52 19676.43
76.26 128.13 76.42 127.48 25530.76
76.25 128.25 76.42 127.60 25530.69
76.25 128.59 76.19 128.87 9721.74
76.24 128.93 76.25 129.00 2153.57
76.24 129.04 76.25 129.11 2094.99
76.24 129.15 76.25 129.23 2094.98
76.24 129.26 76.24 129.34 2153.55
76.23 128.01 76.14 128.52 17018.25
76.22 128.58 76.17 128.86 9511.87
76.21 129.03 76.22 129.11 2094.87
76.21 129.14 76.22 129.22 2094.86
76.20 128.01 76.11 128.50 16559.30
76.19 128.80 76.20 128.87 2094.77
76.19 128.91 76.20 128.98 2094.76
76.19 129.02 76.19 129.10 2153.32
76.19 129.13 76.19 129.21 2153.31
76.18 129.36 76.19 129.43 2094.72
76.18 128.00 76.35 127.35 25526.51
76.17 128.23 76.05 128.72 19465.01
76.17 128.34 76.21 128.86 14365.56
76.16 128.79 76.17 128.86 2153.22
76.16 128.90 76.17 128.98 2153.21
76.16 129.01 76.17 129.09 2153.20
76.16 129.13 76.17 129.20 2017.63
76.16 129.24 76.16 129.31 2017.62
76.16 129.35 76.16 129.43 2153.17
76.14 128.78 76.14 128.86 2153.09
76.14 128.89 76.14 128.97 2153.09
76.13 129.01 76.14 129.08 2017.52
76.13 129.12 76.14 129.19 2017.52
76.13 129.23 76.14 129.30 2017.51
76.13 129.45 76.13 129.52 2017.49
76.11 128.77 76.12 128.85 2152.97
76.11 128.89 76.12 128.96 2152.96
76.11 129.00 76.11 129.07 2017.41
76.11 129.11 76.11 129.18 2017.40
76.10 129.22 76.11 129.30 2220.15
76.10 129.33 76.11 129.40 2017.38
76.09 128.32 76.00 128.71 14611.62
76.09 128.43 76.14 128.98 15871.75
76.09 128.66 76.09 128.73 2094.30
76.08 128.77 76.09 128.84 2152.85
76.08 128.88 76.09 128.95 2152.84
76.08 128.99 76.09 129.07 2152.83
76.08 129.10 76.09 129.17 2017.29
76.08 129.21 76.08 129.28 2017.28
76.07 129.33 76.08 129.40 2017.27
76.07 129.44 76.08 129.51 2017.26
76.07 127.87 75.96 128.37 18196.53
76.06 128.65 76.07 128.72 2152.73
76.06 128.76 76.06 128.83 2152.72
76.06 128.87 76.06 128.95 2290.10
76.05 128.98 76.06 129.06 2219.92
76.05 129.09 76.06 129.16 2017.17
76.05 129.21 76.06 129.28 2017.16
76.05 129.32 76.05 129.39 2017.15
76.04 128.20 76.09 128.73 15419.10
76.04 128.31 75.95 128.72 14978.86
76.03 128.64 76.04 128.72 2152.61
76.03 128.75 76.04 128.83 2094.05
76.03 128.98 76.03 129.05 2219.79
