# lats1 lons1 lats2 lon2 drift_m
74.03 128.03 74.04 128.03 898.46
74.03 128.08 74.04 128.08 1048.20
74.04 128.08 74.05 128.09 898.48
74.06 128.09 74.07 128.09 1048.27
74.06 128.13 74.06 128.19 1705.80
74.07 128.14 74.07 128.19 1751.27
74.08 128.14 74.09 128.19 1751.33
74.08 128.19 74.09 128.24 1751.32
74.08 128.24 74.09 128.29 1808.04
74.07 128.24 74.07 128.29 1751.26
74.07 128.19 74.07 128.24 1751.27
74.04 128.18 74.04 128.26 2412.15
74.04 128.23 74.04 128.31 2435.28
74.04 128.28 74.04 128.36 2560.64
74.03 128.28 74.03 128.36 2560.56
74.03 128.32 74.03 128.41 2582.35
74.03 128.37 74.03 128.46 2582.35
74.04 128.38 74.04 128.45 2435.26
74.05 128.38 74.06 128.46 2435.34
74.05 128.33 74.06 128.41 2435.35
74.04 128.33 74.04 128.41 2435.27
74.01 128.32 74.02 128.40 2582.27
74.00 128.32 74.00 128.40 2582.19
74.00 128.27 74.00 128.36 2709.00
74.00 128.22 74.00 128.31 2709.00
74.00 128.17 74.00 128.26 2709.01
74.02 128.18 74.02 128.26 2560.48
74.02 128.13 74.02 128.21 2696.65
74.03 128.13 74.03 128.22 2696.74
74.03 128.18 74.03 128.26 2560.57
74.03 128.23 74.03 128.31 2560.56
74.01 128.22 74.02 128.31 2560.48
74.01 128.27 74.02 128.36 2560.47
73.99 128.27 73.99 128.35 2708.91
73.99 128.32 73.99 128.40 2708.90
73.97 128.31 73.97 128.40 2708.81
73.97 128.36 73.97 128.45 2729.42
73.97 128.41 73.97 128.50 2708.80
73.98 128.41 73.99 128.50 2612.30
73.99 128.36 73.99 128.45 2582.10
74.00 128.37 74.00 128.45 2582.18
74.01 128.37 74.02 128.45 2582.27
74.01 128.42 74.01 128.50 2582.26
74.01 128.47 74.01 128.55 2582.25
74.00 128.46 74.00 128.55 2612.39
74.00 128.42 74.00 128.50 2612.39
73.98 128.46 73.99 128.54 2612.30
73.98 128.51 73.98 128.57 1995.61
74.00 128.51 73.99 128.58 2141.68
74.01 128.52 74.00 128.58 2141.75
74.01 128.56 74.00 128.63 2141.75
74.00 128.56 73.99 128.63 2141.68
73.98 128.56 73.98 128.62 1995.61
73.98 128.61 73.98 128.67 2034.54
73.99 128.61 73.99 128.67 2034.60
74.01 128.61 74.00 128.67 2034.67
74.02 128.62 74.02 128.68 2141.81
74.02 128.57 74.02 128.63 2141.82
74.04 128.57 74.03 128.64 2141.89
74.05 128.57 74.04 128.64 2141.96
74.05 128.52 74.05 128.59 2141.96
74.05 128.48 74.05 128.55 2435.33
74.05 128.43 74.05 128.51 2435.34
74.07 128.43 74.07 128.51 2435.42
74.06 128.48 74.07 128.56 2435.41
74.06 128.53 74.06 128.59 2142.03
74.08 128.53 74.08 128.61 2467.51
74.09 128.53 74.09 128.60 2178.53
74.09 128.48 74.10 128.55 2178.54
74.08 128.48 74.08 128.56 2467.52
74.10 128.49 74.11 128.56 2178.61
74.10 128.54 74.11 128.61 2178.60
74.12 128.54 74.12 128.61 2178.68
74.13 128.54 74.13 128.58 1233.91
